Jugador,Edad,Origen Equipo,Origen Categoria,Destino Equipo,Destino Categoria,Posición,Año,Fecha,Mercado,Coste,Plus Jugador,Tipología,Plus Teórica,+/- ELO,Valor Mercado TM,Temp.,Coste/Min (K. €),Rdt. por coste,Min. jugados global,Rdt. 1 temporada,Rdt. global
Jeremías Ledesma,29,Rosario Central,Liga Profesional Argentina,Cádiz,Primera División,GK,2021,2021-07-01,Verano,1.8,-0.8,Fichaje,4.2,10,6,3,0.2,42.4,9529,-,Bueno
Fran García,22,RM Castilla,Primera Federación,Rayo Vallecano,Primera División,LB,2021,2021-07-01,Verano,2,-3,Fichaje,13,29,15,2,0.3,206.2,6881,-,Bueno
Ante Budimir,30,Mallorca,Primera División,Osasuna,Primera División,ST,2021,2021-07-01,Verano,8,-,Fichaje,0,5,5,3,1.2,3.9,6649,-,Bueno
Juan Foyth,24,Tottenham Hotspur,Premier League,Villarreal,Primera División,RB,2021,2021-07-01,Verano,15,-,Fichaje,3,16,18,3,2.3,19.4,6601,-,Bueno
Sabit,23,Extremadura,Primera Federación,Getafe,Primera División,CM,2021,2021-07-01,Verano,0.5,-,Fichaje,0,7,0.2,2,0,0,0,-,Malo
Emerson Royal,23,Real Betis,Primera División,Barcelona,Primera División,RB,2021,2021-07-01,Verano,14,-11,Fichaje,9,-4,18,1,155.6,-0.2,90,Regular,-
Lucas Boyé,26,Torino,Serie A,Elche,Primera División,ST,2021,2021-07-01,Verano,3,-4,Fichaje,5,7,7,3,0.7,12.5,4514,-,Bueno
Amath Ndiaye,25,Getafe,Primera División,Mallorca,Primera División,LW,2021,2021-07-01,Verano,3,1,Fichaje,0,7,1.5,3,1,3,2958,-,Regular
Iván Marcone,32,Boca Juniors,Liga Profesional Argentina,Elche,Primera División,CM,2021,2021-07-01,Verano,4,4,Fichaje,0,1,1.2,1,4.5,0.1,881,-,-
Álvaro Vadillo,27,Celta,Primera División,Espanyol,Primera División,LW,2021,2021-07-01,Verano,1.8,1.8,Fichaje,0,-13,0.4,2,450,-0.1,4,-,Malo
Dominik Greif,25,Slovan Bratislava,Liga Eslovaquia,Mallorca,Primera División,GK,2021,2021-06-28,Verano,2.5,-,Fichaje,0,-5,2,3,2,-0.7,1260,Malo,Bueno
Roberto Soldado,37,Granada,Primera División,Levante,Primera División,ST,2021,2021-06-28,Verano,0.5,0.5,Fichaje,0,-75,0,2,0.3,0,1866,Regular,Regular
Stefan Mitrović,32,Strasbourg,Ligue 1,Getafe,Primera División,CB,2021,2021-06-25,Verano,1,1,Fichaje,0.5,0,1.5,3,0.2,0,5177,Bueno,Bueno
Tomás Alarcón,23,O'Higgins,Primera Chile,Cádiz,Primera División,CM,2021,2021-06-13,Verano,2,-,Fichaje,0,-1,1,3,1.2,-0.2,1728,Regular,Bueno
Miguel Llambrich,26,Villarreal,Primera División,Espanyol,Primera División,RB,2021,2021-06-02,Verano,0.5,0.5,Fichaje,0,-21,0.3,2,2,-0.6,250,-,Bueno
Papu Gómez,33,Atalanta,Serie A,Sevilla,Primera División,ST,2021,2021-01-26,Invierno,6.4,6.4,Fichaje,0,-11,0,4,1.3,0,5062,Regular,Regular
Carlos Fernández,25,Sevilla,Primera División,Real Sociedad,Primera División,ST,2021,2021-01-24,Invierno,10,-,Fichaje,0,-2,3,5,5.6,-0.4,1772,-,Regular
Augusto Solari,29,Racing Club,Liga Profesional Argentina,Celta,Primera División,CM,2021,2021-01-23,Invierno,0.5,0.5,Fichaje,0.5,-10,1,3,0.3,-13.2,1519,Regular,Regular
Étienne Capoue,32,Watford,Championship,Villarreal,Primera División,CM,2020,2020-12-30,Invierno,2,2,Fichaje,0,-2,2,4,0.2,-3.6,9782,Bueno,Bueno
Geoffrey Kondogbia,28,Valencia,Primera División,Atlético,Primera División,CM,2020,2020-11-03,Invierno,16,8,Fichaje,0,5,15,3,3.4,5.2,4737,Malo,Regular
Emiliano Rigoni,28,Zenit,Premier League Rusia,Elche,Primera División,RM,2020,2020-10-06,Invierno,0.1,0.1,Fichaje,2,7,2,1,0.1,42,1269,Regular,-
Oussama Idrissi,25,AZ Alkmaar,Eredivisie,Sevilla,Primera División,LW,2020,2020-10-05,Invierno,12,12,Fichaje,0,4,7,3,16.4,0.5,732,Regular,Regular
Karim Rekik,26,Hertha BSC,Bundesliga,Sevilla,Primera División,CB,2020,2020-10-05,Invierno,2,0,Fichaje,0,2,3.5,4,0.5,2.9,4260,Regular,Bueno
Álex Berenguer,26,Torino,Serie A,Athletic,Primera División,LW,2020,2020-10-02,Invierno,12,-,Fichaje,0,0,12,5,1.2,0,10015,-,Bueno
Luis Suárez,23,Watford,Championship,Granada,Primera División,ST,2020,2020-10-02,Invierno,7,-1,Fichaje,0,-3,5,2,1.4,-1.9,4961,Regular,Bueno
Sergiño Dest,20,Ajax,Eredivisie,Barcelona,Primera División,RB,2020,2020-10-01,Invierno,21,21,Fichaje,1,10,22,4,4.4,9.1,4739,Regular,Bueno
Saidy Janko,25,Porto,Liga Portuguesa,Real Valladolid,Primera División,RB,2020,2020-10-01,Invierno,1.9,1.4,Fichaje,0,0,0.6,2,1,0,1939,Regular,Regular
Jawad El Yamiq,29,Genoa,Serie A,Real Valladolid,Primera División,CB,2020,2020-09-24,Invierno,0.3,-0.95,Fichaje,0.6,0,1.8,3,0,0,5013,Bueno,Bueno
Luis Suárez,34,Barcelona,Primera División,Atlético,Primera División,ST,2020,2020-09-24,Invierno,7,7,Fichaje,4,-2,4,2,0.7,-2.3,10552,Bueno,Bueno
Jorge Cuenca,21,Barça Atlètic,Primera Federación,Villarreal,Primera División,CB,2020,2020-09-21,Verano,2.5,-,Fichaje,2.5,7,5,3,0.6,10.1,4221,-,Bueno
Raúl Guti,24,Real Zaragoza,Segunda División,Elche,Primera División,CM,2020,2020-09-20,Verano,5,-,Fichaje,0,-14,1.6,4,0.8,-6.1,6557,Bueno,Regular
Dimitrios Siovas,32,Leganés,Segunda División,Huesca,Primera División,CB,2020,2020-09-17,Verano,1,1,Fichaje,0,-8,0.4,2,0.3,-1.4,3072,Bueno,Bueno
Tete Morente,24,Málaga,Segunda División,Elche,Primera División,LM,2020,2020-09-16,Verano,0.5,0.5,Fichaje,2,10,2.5,4,0.1,84,9318,Regular,Bueno
Pervis Estupiñán,23,Watford,Championship,Villarreal,Primera División,LB,2020,2020-09-16,Verano,16.4,-1.4,Fichaje,13.6,12,30,3,4.1,19.5,4014,Regular,Regular
Borja García,30,Girona,Segunda División,Huesca,Primera División,CAM,2020,2020-09-15,Verano,1.5,1.5,Fichaje,0,-6,1,1,1.3,-1,1116,Regular,-
Marcos Acuña,29,Sporting CP,Liga Portuguesa,Sevilla,Primera División,LB,2020,2020-09-14,Verano,11.3,-,Fichaje,0,7,5,4,1.1,5.6,10506,Bueno,Bueno
Yannick Carrasco,27,Dalian Pro,Superliga China,Atlético,Primera División,LM,2020,2020-09-08,Verano,27,12,Fichaje,0,5,18,4,3,5,8930,-,Bueno
Gerónimo Rulli,29,Real Sociedad,Primera División,Villarreal,Primera División,GK,2020,2020-09-04,Verano,5,-3,Fichaje,1,-2,6,3,0.7,-2.3,7169,Regular,Bueno
Bono,30,Girona,Segunda División,Sevilla,Primera División,GK,2020,2020-09-04,Verano,4,-17,Fichaje,11,10,11,4,0.4,40.9,11047,-,Bueno
Álvaro Jiménez,26,Albacete,Primera Federación,Cádiz,Primera División,RM,2020,2020-09-02,Verano,0,-,Fichaje,0.7,-7,0.7,2,0,0,485,-,Regular
Alberto Soro,22,Real Madrid,Primera División,Granada,Primera División,RM,2020,2020-09-01,Verano,2.5,2.5,Fichaje,0,-8,0.8,4,1.1,-1.9,2270,Regular,Regular
Ivan Rakitić,33,Barcelona,Primera División,Sevilla,Primera División,CM,2020,2020-09-01,Verano,3.5,3.5,Fichaje,2.5,2,4,4,0.3,4.8,11493,-,Bueno
Shon Weissman,25,Wolfsberger AC,Bundesliga Austria,Real Valladolid,Primera División,ST,2020,2020-08-31,Verano,4,0.5,Fichaje,0,-14,2,3,0.6,-7.7,6306,Regular,Bueno
Juan Cruz,28,Elche,Primera División,Osasuna,Primera División,LB,2020,2020-08-30,Verano,3,-,Fichaje,0,2,2.5,4,0.3,2.3,8615,Regular,Bueno
Damian Kadzior,29,Dinamo Zagreb,Liga Croata HNL,Eibar,Primera División,RM,2020,2020-08-29,Verano,2,1.5,Fichaje,0,-4,0.4,1,5.4,-0.1,368,Malo,-
Óscar Rodríguez,23,Real Madrid,Primera División,Sevilla,Primera División,CM,2020,2020-08-28,Verano,13.5,-,Fichaje,0,-6,2.5,3,8.7,-0.6,1557,Malo,Regular
Andrés Fernández,34,Villarreal,Primera División,Huesca,Primera División,GK,2020,2020-08-28,Verano,0.5,0.5,Fichaje,0.5,14,0.5,3,0.1,17.3,9224,-,Bueno
Roberto,35,West Ham,Premier League,Real Valladolid,Primera División,GK,2020,2020-08-28,Verano,0,0,Fichaje,0.5,-60,0.5,2,0,0,3420,Regular,Bueno
Martín Montoya,30,Brighton & Hove Albion,Premier League,Real Betis,Primera División,RB,2020,2020-08-25,Verano,2,2,Fichaje,0,2,0.9,4,1.1,0.3,1765,-,Bueno
Ivo Grbić,25,Lokomotiva,Liga Croata HNL,Atlético,Primera División,GK,2020,2020-08-20,Verano,3.5,1,Fichaje,0,2,3.5,4,3.2,0.3,1102,Malo,Bueno
Julio,23,Real Betis,Primera División,Getafe,Primera División,CM,2020,2020-08-17,Verano,0,0,Fichaje,0.2,53,0.2,0,0,0,0,-,-
Miguel Baeza,21,RM Castilla,Segunda División B,Celta,Primera División,CM,2020,2020-08-14,Verano,2.5,-,Fichaje,0,2,0.5,4,3.5,0.1,710,Malo,Regular
Dani Parejo,32,Valencia,Primera División,Villarreal,Primera División,CM,2020,2020-08-12,Verano,2.3,-,Fichaje,0.8,0,3,4,0.1,0,15059,Bueno,Bueno
Enes Ünal,24,Villarreal,Primera División,Getafe,Primera División,ST,2020,2020-08-12,Verano,9,-7.5,Fichaje,11,-1,20,4,1.2,-2.9,7575,Regular,Bueno
Francis Coquelin,30,Valencia,Primera División,Villarreal,Primera División,CM,2020,2020-08-12,Verano,7.1,-,Fichaje,0,-2,2,4,1.4,-0.7,5113,Regular,Regular
Maxime Gonalons,32,Roma,Serie A,Granada,Primera División,DM,2020,2020-08-11,Verano,4,4,Fichaje,0,-1,0.8,2,1,-0.2,4100,-,Bueno
Lucas Torró,26,Eintracht Frankfurt,Bundesliga,Osasuna,Primera División,CM,2020,2020-08-05,Verano,2,-,Fichaje,4,11,6,4,0.2,51.5,9409,-,Bueno
Pablo Insua,27,Schalke 04,Bundesliga,Huesca,Primera División,CB,2020,2020-08-01,Verano,1,1,Fichaje,1,9,1,2,0.3,4.6,3560,-,Bueno
Dani Gómez,22,Real Madrid,Primera División,Levante,Primera División,ST,2020,2020-07-31,Verano,2,-,Fichaje,0,-3,1.2,4,0.4,-2.3,5157,Regular,Regular
Luis Milla,26,Tenerife,Segunda División,Granada,Primera División,CM,2020,2020-07-31,Verano,5,0,Fichaje,0,4,3.5,2,1,2,4771,Bueno,Bueno
Jorge De Frutos,24,RM Castilla,Segunda División B,Levante,Primera División,RW,2020,2020-07-29,Verano,2,-6,Fichaje,2,9,4,4,0.3,24.2,7672,Regular,Bueno
Raúl Carnero,32,Getafe,Primera División,Real Valladolid,Primera División,LB,2020,2020-07-28,Verano,0.2,0.2,Fichaje,0.2,-71,0.2,2,0.2,-14.5,992,-,Regular
Trincão,21,Sporting Braga,Liga Portuguesa,Barcelona,Primera División,RW,2020,2020-07-27,Verano,30.9,23.94,Fichaje,0,11,14,1,24.2,2.5,1277,Regular,-
Dimitri Foulquier,28,Watford,Premier League,Granada,Primera División,RB,2020,2020-07-24,Verano,2,-0.5,Fichaje,0.5,9,2.5,2,0.5,6.5,3656,-,Bueno
Álvaro Giménez,30,Birmingham City,Championship,Cádiz,Primera División,ST,2020,2020-07-22,Verano,2.7,2.7,Fichaje,0,5,0.5,3,4.5,0.2,605,-,Regular
Iván Alejo,26,Getafe,Primera División,Cádiz,Primera División,RM,2020,2020-07-22,Verano,2,-,Fichaje,1.5,4,1.5,4,0.4,4,5224,-,Regular
Filip Malbašić,28,Tenerife,Segunda División,Cádiz,Primera División,ST,2020,2020-07-22,Verano,1,1,Fichaje,0,-2,0.4,2,1,-0.3,1030,-,Regular
Jorge Pombo,27,Real Zaragoza,Segunda División,Cádiz,Primera División,ST,2020,2020-07-22,Verano,1.2,1.2,Fichaje,0.4,-5,0.4,3,1.8,-0.3,668,-,Regular
Choco Lozano,28,Girona,Segunda División,Cádiz,Primera División,ST,2020,2020-07-22,Verano,2.5,2.5,Fichaje,0,0,1.2,3,0.5,0,4736,-,Regular
Suso,27,Milan,Serie A,Sevilla,Primera División,RW,2020,2020-07-21,Verano,21.7,-,Fichaje,0,-5,5,5,3,-1.9,7310,-,Regular
Enric Gallego,34,Getafe,Primera División,Osasuna,Primera División,ST,2020,2020-07-01,Verano,3,3,Fichaje,0,2,0.5,3,2.3,0.1,1297,-,Regular
Álvaro Morata,28,Chelsea,Premier League,Atlético,Primera División,ST,2020,2020-07-01,Verano,35,-,Fichaje,0,5,16,4,6.1,2.7,5764,-,Regular
Javi Sánchez,24,Real Madrid,Primera División,Real Valladolid,Primera División,CB,2020,2020-07-01,Verano,3,-,Fichaje,0,10,2,5,0.5,7.3,6434,-,Bueno
Marc Cucurella,22,Barcelona,Primera División,Getafe,Primera División,LB,2020,2020-07-01,Verano,11.8,-53.5,Fichaje,15,7,25,3,3,8.4,3952,-,Bueno
Raúl Navas,33,Real Sociedad,Primera División,Osasuna,Primera División,CB,2020,2020-07-01,Verano,0.3,0.25,Fichaje,0,-12,0.1,2,0.4,-0.4,619,-,Bueno
Miralem Pjanić,31,Juventus,Serie A,Barcelona,Primera División,CM,2020,2020-06-29,Verano,60,60,Fichaje,0,-11,4,3,47.5,-0.3,1264,Regular,Regular
Pedri,18,Las Palmas,Segunda División,Barcelona,Primera División,CM,2019,2019-09-02,Verano,5,-,Fichaje,75,22,80,4,0.5,604,9903,Bueno,Bueno
