,Jugador,img_player
64,G. Scamacca,https://img.a.transfermarkt.technology/portrait/big/315867-1659354755.jpg?lm=1
65,C. Baumgartner,https://img.a.transfermarkt.technology/portrait/big/324278-1716315718.jpg?lm=1
66,R. Drăgușin,https://img.a.transfermarkt.technology/portrait/big/568559-1718259698.jpg?lm=1
67,Beto,https://img.a.transfermarkt.technology/portrait/big/35242-1447239823.jpg?lm=1
68,Lovro Majer,https://img.a.transfermarkt.technology/portrait/big/387106-1695624038.jpg?lm=1
69,Kevin Schade,https://img.a.transfermarkt.technology/portrait/big/473050-1700560328.jpg?lm=1
70,R. Calafiori,https://img.a.transfermarkt.technology/portrait/big/502821-1696837967.jpg?lm=1
71,Eljif Elmas,https://img.a.transfermarkt.technology/portrait/big/400489-1709127683.jpg?lm=1
72,B. Šeško,https://img.a.transfermarkt.technology/portrait/big/627442-1713897956.jpg?lm=1
73,Nathan Tella,https://img.a.transfermarkt.technology/portrait/big/340322-1660247676.jpg?lm=1
74,Alex Scott,https://img.a.transfermarkt.technology/portrait/big/855256-1656922605.jpg?lm=1
75,Robert Sánchez,https://img.a.transfermarkt.technology/portrait/big/403151-1695028195.jpg?lm=1
76,C. Bassey,https://img.a.transfermarkt.technology/portrait/big/461883-1662989506.jpg?lm=1
77,Terem Moffi,https://img.a.transfermarkt.technology/portrait/big/538874-1603021287.jpg?lm=1
78,Kang-In Lee,https://img.a.transfermarkt.technology/portrait/big/557149-1703978046.jpg?lm=1
79,A. Griezmann,https://img.a.transfermarkt.technology/portrait/big/125781-1719928503.jpg?lm=1
80,V. Boniface,https://img.a.transfermarkt.technology/portrait/big/656681-1666292728.jpg?lm=1
81,Cameron Archer,https://img.a.transfermarkt.technology/portrait/big/533662-1641461875.jpg?lm=1
82,Adam Wharton,https://img.a.transfermarkt.technology/portrait/big/744149-1716297290.jpg?lm=1
83,Renan Lodi,https://img.a.transfermarkt.technology/portrait/big/476352-1703065997.jpg?lm=1
84,Matheus França,https://img.a.transfermarkt.technology/portrait/big/743597-1708426107.jpg?lm=1
85,N. Seiwald,https://img.a.transfermarkt.technology/portrait/big/404950-1716315232.jpg?lm=1
86,Arda Güler,https://img.a.transfermarkt.technology/portrait/big/861410-1699472585.jpg?lm=1
87,Abakar Sylla,https://img.a.transfermarkt.technology/portrait/big/962555-1658167503.jpg?lm=1
88,D. Zakaria,https://img.a.transfermarkt.technology/portrait/big/334526-1667990520.jpg?lm=1
89,Enzo Le Fée,https://img.a.transfermarkt.technology/portrait/big/633992-1623749409.jpg?lm=1
90,Wataru Endo,https://img.a.transfermarkt.technology/portrait/big/146310-1657181542.jpg?lm=1
91,Lucas Beraldo,https://img.a.transfermarkt.technology/portrait/big/872171-1715107660.jpg?lm=1
92,A. Pinamonti,https://img.a.transfermarkt.technology/portrait/big/315865-1692883161.jpg?lm=1
93,B. Verbruggen,https://img.a.transfermarkt.technology/portrait/big/565093-1716990260.jpg?lm=1
94,C. Pulišić,https://img.a.transfermarkt.technology/portrait/big/315779-1691696699.jpg?lm=1
95,K. Mavropanos,https://img.a.transfermarkt.technology/portrait/big/415912-1691999569.jpg?lm=1
96,Gabriel Moscardo,https://img.a.transfermarkt.technology/portrait/big/1086636-1706118752.jpg?lm=1
97,Yunus Musah,https://img.a.transfermarkt.technology/portrait/big/503991-1684913655.jpg?lm=1
98,S. Chukwueze,https://img.a.transfermarkt.technology/portrait/big/401922-1692277617.jpg?lm=1
99,Malick Fofana,https://img.a.transfermarkt.technology/portrait/big/743386-1676881156.jpg?lm=1
100,T. Reijnders,https://img.a.transfermarkt.technology/portrait/big/460939-1676466080.jpg?lm=1
101,Marcel Sabitzer,https://img.a.transfermarkt.technology/portrait/big/106987-1711745992.jpg?lm=1
102,Zeki Amdouni,https://img.a.transfermarkt.technology/portrait/big/548729-1715938870.jpg?lm=1
103,G. Vicario,https://img.a.transfermarkt.technology/portrait/big/286047-1630576218.jpg?lm=1
104,C. Echeverri,https://img.a.transfermarkt.technology/portrait/big/994536-1694001438.png?lm=1
105,R. Loftus-Cheek,https://img.a.transfermarkt.technology/portrait/big/202886-1692879593.jpg?lm=1
106,A. Vermeeren,https://img.a.transfermarkt.technology/portrait/big/926694-1652692286.jpg?lm=1
107,Cyril Ngonge,https://img.a.transfermarkt.technology/portrait/big/358032-1674197416.jpg?lm=1
108,Miloš Kerkez,https://img.a.transfermarkt.technology/portrait/big/730861-1660762995.jpg?lm=1
109,A. Elanga,https://img.a.transfermarkt.technology/portrait/big/583189-1700739021.jpg?lm=1
110,Dean Henderson,https://img.a.transfermarkt.technology/portrait/big/258919-1716297478.jpg?lm=1
111,Gustavo Hamer,https://img.a.transfermarkt.technology/portrait/big/322985-1682690179.jpg?lm=1
112,Jérémie Boga,https://img.a.transfermarkt.technology/portrait/big/216569-1661509174.jpg?lm=1
113,I. Ndiaye,https://img.a.transfermarkt.technology/portrait/big/623570-1651653048.png?lm=1
114,Chris Wood,https://img.a.transfermarkt.technology/portrait/big/108725-1674209978.jpg?lm=1
115,N. Füllkrug,https://img.a.transfermarkt.technology/portrait/big/75489-1709560033.jpg?lm=1
116,Ivan Ilić,https://img.a.transfermarkt.technology/portrait/big/470794-1716239802.jpg?lm=1
117,D. Washington,https://img.a.transfermarkt.technology/portrait/big/default.jpg?lm=1
118,D. Petrović,https://img.a.transfermarkt.technology/portrait/big/465555-1714721408.jpg?lm=1
119,A. Matusiwa,https://img.a.transfermarkt.technology/portrait/big/315145-1639675049.png?lm=1
120,E. Bitshiabu,https://img.a.transfermarkt.technology/portrait/big/787912-1672304780.jpg?lm=1
121,Romain Faivre,https://img.a.transfermarkt.technology/portrait/big/555076-1672831296.jpg?lm=1
122,Fabian Rieder,https://img.a.transfermarkt.technology/portrait/big/507341-1718217990.jpg?lm=1
123,Ludovic Blas,https://img.a.transfermarkt.technology/portrait/big/288225-1596557793.jpg?lm=1
124,J. Bellegarde,https://img.a.transfermarkt.technology/portrait/big/450050-1618501758.jpg?lm=1
125,Granit Xhaka,https://img.a.transfermarkt.technology/portrait/big/111455-1689711080.jpg?lm=1
126,Ângelo,https://img.a.transfermarkt.technology/portrait/big/s_5826_123_2012_1.jpg?lm=1
127,Taty Castellanos,https://img.a.transfermarkt.technology/portrait/big/522784-1695027268.jpg?lm=1
128,Alejo Véliz,https://img.a.transfermarkt.technology/portrait/big/888493-1674736266.JPG?lm=1
129,M. Salisu,https://img.a.transfermarkt.technology/portrait/big/563963-1668428508.jpg?lm=1
130,H. Haraldsson,https://img.a.transfermarkt.technology/portrait/big/652275-1662491592.jpg?lm=1
131,Jordan Beyer,https://img.a.transfermarkt.technology/portrait/big/403898-1685706514.jpg?lm=1
132,Mateo Retegui,https://img.a.transfermarkt.technology/portrait/big/554903-1681311414.jpg?lm=1
133,Boulaye Dia,https://img.a.transfermarkt.technology/portrait/big/626913-1662127119.jpg?lm=1
134,César Montes,https://img.a.transfermarkt.technology/portrait/big/387687-1719229516.jpg?lm=1
135,M. Berisha,https://img.a.transfermarkt.technology/portrait/big/307924-1691251216.jpg?lm=1
136,Andy Diouf,https://img.a.transfermarkt.technology/portrait/big/711976-1637070021.jpg?lm=1
137,Noah Okafor,https://img.a.transfermarkt.technology/portrait/big/346890-1692879855.jpg?lm=1
138,Gift Orban,https://img.a.transfermarkt.technology/portrait/big/1018259-1701690897.jpg?lm=1
139,Sander Berge,https://img.a.transfermarkt.technology/portrait/big/333014-1679676693.jpg?lm=1
140,Mark Flekken,https://img.a.transfermarkt.technology/portrait/big/125714-1658411484.jpg?lm=1
141,Robin Gosens,https://img.a.transfermarkt.technology/portrait/big/273132-1686641124.jpg?lm=1
142,Ismaïla Sarr,https://img.a.transfermarkt.technology/portrait/big/410225-1668162683.jpg?lm=1
143,A. Zakharyan,https://img.a.transfermarkt.technology/portrait/big/555143-1683292149.jpg?lm=1
144,T. Castagne,https://img.a.transfermarkt.technology/portrait/big/262226-1665067689.jpg?lm=1
145,E. Emegha,https://img.a.transfermarkt.technology/portrait/big/69006-1487240503.jpg?lm=1
146,Lucas Beltrán,https://img.a.transfermarkt.technology/portrait/big/628366-1692881138.jpg?lm=1
147,Y. Chermiti,https://img.a.transfermarkt.technology/portrait/big/670688-1708426195.jpg?lm=1
148,Vini Souza,https://img.a.transfermarkt.technology/portrait/big/663581-1592467266.jpg?lm=1
